Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Haaltert ,41024,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.12,0.83
 Halen ,71020,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.08,0.85
 Halen ,71020,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.08,0.86
 Halle ,23027,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.18,0.17,0.64
 Halle ,23027,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.16,0.17,0.67
 Ham ,71069,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.08,0.9
 Ham ,71069,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.06,0.89
 Hamme ,42008,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.11,0.83
 Hamme ,42008,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.13,0.8
 Hamont-Achel ,72037,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.09,0.16,0.75
 Hamont-Achel ,72037,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.1,0.11,0.79
 Harelbeke ,34013,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.09,0.83
 Harelbeke ,34013,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.08,0.09,0.83
 Hasselt ,71022,ja,Tevredenheid over huisvuilvoorzieningen,2011,0.02,0.06,0.91
 Hasselt ,71022,ja,Tevredenheid over huisvuilvoorzieningen,2014,0.07,0.06,0.87
 Hasselt ,71022,ja,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.11,0.83
 Hasselt ,71022,ja,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.08,0.86
 Hechtel-Eksel ,72038,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.02,0.07,0.91
 Hechtel-Eksel ,72038,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.07,0.9
 Heers ,73022,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.09,0.09,0.82
 Heers ,73022,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.07,0.88
 Heist-Op-Den-Berg ,12014,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.06,0.89
 Heist-Op-Den-Berg ,12014,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.07,0.89
 Hemiksem ,11018,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.13,0.09,0.77
 Hemiksem ,11018,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.09,0.12,0.79
 Herent ,24038,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.06,0.87
 Herent ,24038,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.08,0.87
 Herentals ,13011,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.06,0.88
 Herentals ,13011,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.13,0.81
 Herenthout ,13012,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.07,0.91
 Herenthout ,13012,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.02,0.05,0.94
 Herk-De-Stad ,71024,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.08,0.87
 Herk-De-Stad ,71024,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.08,0.88
 Herne ,23032,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.1,0.08,0.82
 Herne ,23032,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.06,0.91
 Herselt ,13013,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.12,0.81
 Herselt ,13013,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.09,0.85
 Herzele ,41027,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.04,0.92
 Herzele ,41027,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.08,0.89
 Heusden-Zolder ,71070,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.1,0.85
 Heusden-Zolder ,71070,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.08,0.85
 Heuvelland ,33039,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.11,0.81
 Heuvelland ,33039,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.12,0.83
 Hoegaarden ,24041,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.26,0.12,0.62
 Hoegaarden ,24041,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.42,0.17,0.41
 Hoeilaart ,23033,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.14,0.07,0.79
 Hoeilaart ,23033,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.08,0.09,0.83
 Hoeselt ,73032,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.09,0.88
 Hoeselt ,73032,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.08,0.08,0.84
 Holsbeek ,24043,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.13,0.79
 Holsbeek ,24043,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.12,0.83
 Hooglede ,36006,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.02,0.03,0.95
 Hooglede ,36006,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.02,0.05,0.92
 Hoogstraten ,13014,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.07,0.88
 Hoogstraten ,13014,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.02,0.08,0.9
 Horebeke ,45062,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.3,0.16,0.55
 Horebeke ,45062,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.18,0.12,0.7
 Houthalen-Helchteren ,72039,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.1,0.11,0.78
 Houthalen-Helchteren ,72039,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.09,0.16,0.76
 Houthulst ,32006,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.09,0.87
 Houthulst ,32006,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.02,0.07,0.91
 Hove ,11021,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.16,0.1,0.74
 Hove ,11021,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.09,0.11,0.8
 Huldenberg ,24045,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.29,0.18,0.53
 Huldenberg ,24045,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.27,0.17,0.56
 Hulshout ,13016,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.08,0.86
 Hulshout ,13016,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.14,0.79
 Ichtegem ,35006,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.1,0.09,0.81
 Ichtegem ,35006,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.1,0.83
 Ieper ,33011,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.11,0.83
 Ieper ,33011,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.09,0.83
 Ingelmunster ,36007,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.06,0.9
 Ingelmunster ,36007,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.02,0.04,0.93
 Izegem ,36008,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.06,0.89
 Izegem ,36008,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.1,0.85
 Jabbeke ,31012,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.07,0.88
 Jabbeke ,31012,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.07,0.87
 Kalmthout ,11022,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.05,0.92
 Kalmthout ,11022,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.02,0.07,0.91
 Kampenhout ,23038,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.06,0.88
 Kampenhout ,23038,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.05,0.88
 Kapellen ,11023,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.08,0.88
 Kapellen ,11023,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.1,0.87
 Kapelle-Op-Den-Bos ,23039,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.16,0.18,0.66
 Kapelle-Op-Den-Bos ,23039,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.1,0.1,0.79
 Kaprijke ,43007,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.16,0.16,0.68
 Kaprijke ,43007,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.1,0.13,0.77
 Kasterlee ,13017,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.08,0.9
 Kasterlee ,13017,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.07,0.9
 Keerbergen ,24048,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.06,0.86
 Keerbergen ,24048,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.06,0.91
 Kinrooi ,72018,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.01,0.05,0.94
 Kinrooi ,72018,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.01,0.05,0.94
