,Gemeente,NSI-code,Vrouw,Man
505,Tinlot,61081,1395,1324
506,Tintigny,85039,2176,2195
507,Tongeren,73083,15988,15574
508,Torhout,31033,10275,10242
509,Tremelo,24109,7646,7544
510,Trois-Ponts,63086,1283,1277
511,Trooz,62122,3907,3915
512,Tubeke,25105,14216,13558
513,Turnhout,13040,23200,23172
514,Ukkel,21016,45423,39676
515,Vaux-sur-Sûre,82036,3025,2998
516,Verlaine,61063,2113,2152
517,Verviers,63079,28251,26851
518,Veurne,38025,6263,6032
519,Vielsalm,82032,3947,3944
520,Villers-Le-Bouillet,61068,3423,3260
521,Villers-la-Ville,25107,5549,5421
522,Vilvoorde,23088,23837,22517
523,Viroinval,93090,2908,2797
524,Virton,85045,5799,5605
525,Vleteren,33041,1777,1869
526,Vloesberg,51019,1746,1707
527,Voeren,73109,2140,2147
528,Vorselaar,13044,4006,4013
529,Vorst (Brussel-Hoofdstad),21007,29136,27480
530,Vosselaar,13046,5768,5788
531,Vresse-sur-Semois,91143,1226,1289
532,Waasmunster,42023,5510,5512
533,Wachtebeke,44073,3961,3886
534,Walcourt,93088,9384,9045
535,Walhain,25124,3771,3714
536,Wanze,61072,7154,6845
537,Waregem,34040,19813,19135
538,Wasseiges,64075,1539,1521
539,Waterloo,25110,15992,14364
540,Watermaal-Bosvoorde,21017,13561,11626
541,Waver,25112,18190,16921
542,Weismes,63080,3661,3753
543,Welkenraedt,63084,5310,5118
544,Wellen,73098,3749,3710
545,Wellin,84075,1598,1537
546,Wemmel,23102,8834,8348
547,Wervik,33029,9493,9527
548,Westerlo,13049,12600,12708
549,Wetteren,42025,13491,12953
550,Wevelgem,34041,15959,15606
551,Wezembeek-Oppem,23103,7553,6935
552,Wezet,62108,9259,8714
553,Wichelen,42026,5950,5815
554,Wielsbeke,37017,4900,5017
555,Wijnegem,11050,5299,4945
556,Willebroek,12040,13920,13516
557,Wingene,37018,7334,7518
558,Wommelgem,11052,6676,6505
559,Wortegem-Petegem,45061,3248,3269
560,Wuustwezel,11053,10745,10778
561,Yvoir,91141,4602,4579
562,Zandhoven,11054,6643,6529
563,Zaventem,23094,18296,17620
564,Zedelgem,31040,11556,11601
565,Zele,42028,10746,10603
566,Zelzate,43018,6559,6739
567,Zemst,23096,11870,11436
568,Zinnik,55040,14657,13866
569,Zoersel,11055,11376,10941
570,Zonhoven,71066,10844,10629
571,Zonnebeke,33037,6220,6336
572,Zottegem,41081,14074,13267
573,Zoutleeuw,24130,4365,4226
574,Zuienkerke,31042,1337,1372
575,Zulte,44081,7910,8033
576,Zutendaal,71067,3636,3671
577,Zwalm,45065,4167,4077
578,Zwevegem,34042,12677,12463
579,Zwijndrecht,11056,9791,9452
580,s Gravenbrakel,55004,11580,11172
