Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar nationaliteitsgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Onbepaalde nationaliteit,0,26,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Derdelander,11,14,0.785714
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,EU+ (excl. Nederland),3,14,0.214286
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Nederland,0,14,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Onbepaalde nationaliteit,0,14,0.0
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Derdelander,54,65,0.830769
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,EU+,10,65,0.153846
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Onbepaalde nationaliteit,1,65,0.0153846
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Derdelander,70,87,0.804598
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,EU+,16,87,0.183908
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Onbepaalde nationaliteit,1,87,0.0114943
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Derdelander,43,57,0.754386
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,EU+ (excl. Nederland),12,57,0.210526
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Nederland,1,57,0.0175439
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Onbepaalde nationaliteit,1,57,0.0175439
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Derdelander,38,48,0.791667
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,EU+ (excl. Nederland),9,48,0.1875
