Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Hove,11021,Nee,Externe inwijking van vreemdelingen,2007,19,8298,2.28971
Hove,11021,Nee,Externe inwijking van vreemdelingen,2008,15,8323,1.80223
Hove,11021,Nee,Externe inwijking van vreemdelingen,2009,13,8212,1.58305
Hove,11021,Nee,Externe inwijking van vreemdelingen,2010,13,8199,1.58556
Hove,11021,Nee,Externe inwijking van vreemdelingen,2011,14,8190,1.7094
Hove,11021,Nee,Externe inwijking van vreemdelingen,2012,24,8199,2.92719
Hove,11021,Nee,Externe inwijking van vreemdelingen,2013,14,8198,1.70773
Hove,11021,Nee,Externe inwijking van vreemdelingen,2014,19,8216,2.31256
Hove,11021,Nee,Externe inwijking van vreemdelingen,2015,21,8193,2.56316
Hove,11021,Nee,Externe inwijking van vreemdelingen,2016,22,8141,2.70237
Hove,11021,Nee,Externe inwijking van vreemdelingen,2017,14,8152,1.71737
Hove,11021,Nee,Externe inwijking van vreemdelingen,2018,17,8115,2.09489
Hove,11021,Nee,Externe inwijking van vreemdelingen,2019,27,8125,3.32308
Hove,11021,Nee,Externe inwijking van vreemdelingen,2020,24,8277,2.8996
Hove,11021,Nee,Externe inwijking van vreemdelingen,2021,17,8287,2.05141
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2000,143,17260,8.28505
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2001,171,17342,9.86045
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2002,145,17369,8.34821
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2003,117,17410,6.72028
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2004,147,17396,8.45022
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2005,149,17440,8.54358
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2006,159,17489,9.09143
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2007,121,17504,6.91271
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2008,120,17574,6.82827
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2009,120,17587,6.82322
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2010,139,17731,7.83938
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2011,137,17952,7.63146
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2012,120,18126,6.62032
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2013,109,18184,5.99428
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2014,108,18165,5.9455
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2015,94,18192,5.16711
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2016,126,18336,6.87173
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2017,86,18490,4.65116
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2018,127,18608,6.82502
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2019,103,18695,5.50949
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2020,95,18872,5.03391
Kalmthout,11022,Nee,Externe inwijking van vreemdelingen,2021,90,19020,4.73186
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2000,144,25671,5.60944
