Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Statuut,Aantal meerderjarige nieuwkomers naar statuut,Aantal meerderjarige nieuwkomers,Procent
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2010,EU-onderdaan onbekende reden,1909,9182,0.20791
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2010,Geregulariseerd,1350,9182,0.14703
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2010,Gezinshereniger,3496,9182,0.38074
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2010,Onbepaald statuut,363,9182,0.03953
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2011,Arbeidsmigrant,2130,9748,0.21851
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2011,Asielzoeker/erkend vluchtel.,687,9748,0.07048
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2011,EU+ student,118,9748,0.01211
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2011,EU-onderdaan onbekende reden,2687,9748,0.27565
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2011,Geregulariseerd,1119,9748,0.11479
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2011,Gezinshereniger,2995,9748,0.30724
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2011,Onbepaald statuut,12,9748,0.00123
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2012,Arbeidsmigrant,1931,8244,0.23423
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2012,Asielzoeker/erkend vluchtel.,524,8244,0.06356
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2012,EU+ student,117,8244,0.01419
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2012,EU-onderdaan onbekende reden,2874,8244,0.34862
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2012,Geregulariseerd,336,8244,0.04076
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2012,Gezinshereniger,2456,8244,0.29791
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2012,Onbepaald statuut,6,8244,0.00073
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2013,Arbeidsmigrant,2041,6650,0.30692
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2013,Asielzoeker/erkend vluchtel.,167,6650,0.02511
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2013,EU+ student,221,6650,0.03323
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2013,EU-onderdaan onbekende reden,1121,6650,0.16857
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2013,Geregulariseerd,116,6650,0.01744
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2013,Gezinshereniger,1981,6650,0.29789
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2013,Overig statuut,1003,6650,0.15083
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2014,Arbeidsmigrant,1099,6794,0.16176
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2014,Asielzoeker/erkend vluchtel.,136,6794,0.02002
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2014,EU+ student,112,6794,0.01649
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2014,EU-onderdaan onbekende reden,3042,6794,0.44775
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2014,Geregulariseerd,55,6794,0.0081
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2014,Gezinshereniger,1881,6794,0.27686
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2014,Overig statuut,469,6794,0.06903
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2015,Arbeidsmigrant,2019,7446,0.27115
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2015,Asielzoeker/erkend vluchtel.,1079,7446,0.14491
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2015,EU+ student,211,7446,0.02834
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2015,EU+ voldoende bestaansmidd.,178,7446,0.02391
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2015,EU-onderdaan onbekende reden,1544,7446,0.20736
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2015,Gezinshereniger,2234,7446,0.30003
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2015,Onbepaald statuut,181,7446,0.02431
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2016,Arbeidsmigrant,2221,9423,0.2357
