Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal leerlingen in het deeltijds beroepssecundair onderwijs, wonend in de gemeente, naar thuistaal","Aantal leerlingen in gewoon secundair onderwijs, wonend in de gemeente",Procent
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Onbekend,0,16,0.0
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,22,25,0.88
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,3,25,0.12
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Onbekend,0,25,0.0
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,15,22,0.681818
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,7,22,0.318182
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Onbekend,0,22,0.0
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,18,31,0.580645
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,13,31,0.419355
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Onbekend,0,31,0.0
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,17,27,0.62963
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,10,27,0.37037
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Onbekend,0,27,0.0
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,15,30,0.5
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,15,30,0.5
Borsbeek,11007,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Onbekend,0,30,0.0
Brasschaat,11008,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Nederlands,35,37,0.945946
Brasschaat,11008,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Niet Nederlands,2,37,0.0540541
Brasschaat,11008,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Onbekend,0,37,0.0
Brasschaat,11008,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Nederlands,31,36,0.861111
Brasschaat,11008,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Niet Nederlands,3,36,0.0833333
Brasschaat,11008,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Onbekend,2,36,0.0555556
Brasschaat,11008,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,32,37,0.864865
Brasschaat,11008,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,4,37,0.108108
