Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Niveau 1,Kiloton olie equivalent (ovw)
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Vaste biobrandstoffen,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Houtskool,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Biogas,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Biobenzine,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Biodiesel,0.06
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Andere vloeibare biobrandstoffen,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Warmtepompen,0.029
Finale consumptie,Andere sectoren,,Waterkracht,
Finale consumptie,Andere sectoren,,Windenergie,
Finale consumptie,Andere sectoren,,Fotovoltaïsche zonne-energie,
Finale consumptie,Andere sectoren,,Thermische zonne-energie,25.931
Finale consumptie,Andere sectoren,,Geothermische energie,
Finale consumptie,Andere sectoren,,Vaste biobrandstoffen,649.57
Finale consumptie,Andere sectoren,,Houtskool,29.945
Finale consumptie,Andere sectoren,,Biogas,56.974
Finale consumptie,Andere sectoren,,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Andere sectoren,,Biobenzine,1.245
Finale consumptie,Andere sectoren,,Biodiesel,0.06
Finale consumptie,Andere sectoren,,Andere vloeibare biobrandstoffen,
Finale consumptie,Andere sectoren,,Warmtepompen,185.086
Finale consumptie,,,Waterkracht,
Finale consumptie,,,Windenergie,
Finale consumptie,,,Fotovoltaïsche zonne-energie,
Finale consumptie,,,Thermische zonne-energie,26.013
Finale consumptie,,,Geothermische energie,
Finale consumptie,,,Vaste biobrandstoffen,1319.822
Finale consumptie,,,Houtskool,29.945
Finale consumptie,,,Biogas,96.826
Finale consumptie,,,Hernieuwbaar huishoudelijk afval,
Finale consumptie,,,Biobenzine,161.266
Finale consumptie,,,Biodiesel,617.172
Finale consumptie,,,Andere vloeibare biobrandstoffen,0.36
Finale consumptie,,,Warmtepompen,190.059
Statistisch verschil,,,Waterkracht,
Statistisch verschil,,,Windenergie,
Statistisch verschil,,,Fotovoltaïsche zonne-energie,
Statistisch verschil,,,Thermische zonne-energie,
Statistisch verschil,,,Geothermische energie,
Statistisch verschil,,,Vaste biobrandstoffen,0.002
Statistisch verschil,,,Houtskool,
Statistisch verschil,,,Biogas,-0.014
Statistisch verschil,,,Hernieuwbaar huishoudelijk afval,
Statistisch verschil,,,Biobenzine,0.023
Statistisch verschil,,,Biodiesel,-0.035
Statistisch verschil,,,Andere vloeibare biobrandstoffen,
Statistisch verschil,,,Warmtepompen,
