Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Groep,Product Niveau 1,Kiloton olie equivalent (ovw)
Finale consumptie,Andere sectoren,Huishoudens,Siderurgische gassen,Cokesovengas,
Finale consumptie,Andere sectoren,Huishoudens,Siderurgische gassen,Hoogovengas,
Finale consumptie,Andere sectoren,Huishoudens,Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,Andere sectoren,Land- en bosbouw,Vaste fossiele brandstoffen,Antraciet,11.945
Finale consumptie,Andere sectoren,Land- en bosbouw,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Andere sectoren,Land- en bosbouw,Vaste fossiele brandstoffen,Andere bitumineuze kool,0.467
Finale consumptie,Andere sectoren,Land- en bosbouw,Vaste fossiele brandstoffen,Subbitumineuze kool,0.108
Finale consumptie,Andere sectoren,Land- en bosbouw,Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Andere sectoren,Land- en bosbouw,Vaste fossiele brandstoffen,Cokesoven-cokes,
Finale consumptie,Andere sectoren,Land- en bosbouw,Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Andere sectoren,Land- en bosbouw,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Finale consumptie,Andere sectoren,Land- en bosbouw,Siderurgische gassen,Cokesovengas,
Finale consumptie,Andere sectoren,Land- en bosbouw,Siderurgische gassen,Hoogovengas,
Finale consumptie,Andere sectoren,Land- en bosbouw,Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,Andere sectoren,,Vaste fossiele brandstoffen,Antraciet,48.819
Finale consumptie,Andere sectoren,,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Andere sectoren,,Vaste fossiele brandstoffen,Andere bitumineuze kool,0.467
Finale consumptie,Andere sectoren,,Vaste fossiele brandstoffen,Subbitumineuze kool,0.108
Finale consumptie,Andere sectoren,,Vaste fossiele brandstoffen,Steenkool-briketten,0.6
Finale consumptie,Andere sectoren,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Finale consumptie,Andere sectoren,,Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Andere sectoren,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),1.619
Finale consumptie,Andere sectoren,,Siderurgische gassen,Cokesovengas,
Finale consumptie,Andere sectoren,,Siderurgische gassen,Hoogovengas,
Finale consumptie,Andere sectoren,,Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,Niet energetisch verbruik,,Vaste fossiele brandstoffen,Antraciet,
Finale consumptie,Niet energetisch verbruik,,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Niet energetisch verbruik,,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Finale consumptie,Niet energetisch verbruik,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Finale consumptie,Niet energetisch verbruik,,Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Niet energetisch verbruik,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Finale consumptie,Niet energetisch verbruik,,Vaste fossiele brandstoffen,Koolteer,214.135
Finale consumptie,Niet energetisch verbruik,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Finale consumptie,Niet energetisch verbruik,,Siderurgische gassen,Cokesovengas,
Finale consumptie,Niet energetisch verbruik,,Siderurgische gassen,Hoogovengas,
Finale consumptie,Niet energetisch verbruik,,Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,,,Vaste fossiele brandstoffen,Antraciet,78.75
Finale consumptie,,,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,,,Vaste fossiele brandstoffen,Andere bitumineuze kool,170.941
Finale consumptie,,,Vaste fossiele brandstoffen,Subbitumineuze kool,29.408
Finale consumptie,,,Vaste fossiele brandstoffen,Steenkool-briketten,0.6
Finale consumptie,,,Vaste fossiele brandstoffen,Cokesoven-cokes,22.321
Finale consumptie,,,Vaste fossiele brandstoffen,Koolteer,214.135
Finale consumptie,,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),118.721
Finale consumptie,,,Siderurgische gassen,Cokesovengas,126.384
Finale consumptie,,,Siderurgische gassen,Hoogovengas,48.034
