Date,Deense kroon
2021-02-25,7.4363
2021-02-26,7.4361
2021-03-01,7.436
2021-03-02,7.4361
2021-03-03,7.4362
2021-03-04,7.4361
2021-03-05,7.4363
2021-03-08,7.4362
2021-03-09,7.4366
2021-03-10,7.4366
2021-03-11,7.4366
2021-03-12,7.4366
2021-03-15,7.4362
2021-03-16,7.436
2021-03-17,7.436
2021-03-18,7.436
2021-03-19,7.4364
2021-03-22,7.436
2021-03-23,7.436
2021-03-24,7.436
2021-03-25,7.436
2021-03-26,7.4361
2021-03-29,7.436
2021-03-30,7.4369
2021-03-31,7.4373
2021-04-01,7.4379
2021-04-06,7.4379
2021-04-07,7.4365
2021-04-08,7.4377
2021-04-09,7.4372
2021-04-12,7.4369
2021-04-13,7.4374
2021-04-14,7.4372
2021-04-15,7.4372
2021-04-16,7.4368
2021-04-19,7.4364
2021-04-20,7.4365
2021-04-21,7.4364
2021-04-22,7.4366
2021-04-23,7.4361
2021-04-26,7.4362
2021-04-27,7.436
2021-04-28,7.436
2021-04-29,7.436
2021-04-30,7.436
2021-05-03,7.4365
2021-05-04,7.4361
2021-05-05,7.436
2021-05-06,7.436
2021-05-07,7.4361
2021-05-10,7.4361
2021-05-11,7.436
2021-05-12,7.436
2021-05-13,7.4365
2021-05-14,7.4362
2021-05-17,7.4363
2021-05-18,7.4363
2021-05-19,7.436
2021-05-20,7.4364
2021-05-21,7.4362
2021-05-24,7.4364
2021-05-25,7.436
2021-05-26,7.436
2021-05-27,7.4363
2021-05-28,7.4366
2021-05-31,7.4365
2021-06-01,7.4366
2021-06-02,7.4365
2021-06-03,7.4365
2021-06-04,7.4368
2021-06-07,7.4369
2021-06-08,7.4364
2021-06-09,7.4366
2021-06-10,7.4364
2021-06-11,7.4361
2021-06-14,7.4361
2021-06-15,7.4362
2021-06-16,7.4366
2021-06-17,7.4369
2021-06-18,7.4364
2021-06-21,7.4364
2021-06-22,7.436
2021-06-23,7.4362
2021-06-24,7.4362
2021-06-25,7.4363
2021-06-28,7.4369
2021-06-29,7.4363
2021-06-30,7.4362
2021-07-01,7.436
2021-07-02,7.436
2021-07-05,7.436
2021-07-06,7.4361
2021-07-07,7.4361
2021-07-08,7.4366
2021-07-09,7.4367
2021-07-12,7.4375
2021-07-13,7.438
2021-07-14,7.4376
2021-07-15,7.4375
2021-07-16,7.4381
2021-07-19,7.4377
2021-07-20,7.4381
2021-07-21,7.4385
2021-07-22,7.4382
2021-07-23,7.4382
2021-07-26,7.4372
2021-07-27,7.4371
