Date,Zuid-Koreaanse won
2020-01-07,1302.48
2020-01-08,1297.37
2020-01-09,1288.28
2020-01-10,1286.0
2020-01-13,1288.09
2020-01-14,1285.74
2020-01-15,1289.22
2020-01-16,1293.87
2020-01-17,1288.37
2020-01-20,1286.08
2020-01-21,1298.12
2020-01-22,1290.57
2020-01-23,1295.15
2020-01-24,1289.12
2020-01-27,1298.34
2020-01-28,1297.2
2020-01-29,1296.65
2020-01-30,1315.0
2020-01-31,1321.6
2020-02-03,1319.12
2020-02-04,1310.75
2020-02-05,1302.97
2020-02-06,1301.78
2020-02-07,1309.78
2020-02-10,1301.41
2020-02-11,1290.63
2020-02-12,1288.0
2020-02-13,1286.02
2020-02-14,1283.75
2020-02-17,1282.7
2020-02-18,1288.74
2020-02-19,1284.75
2020-02-20,1301.79
2020-02-21,1309.45
2020-02-24,1319.2
2020-02-25,1315.68
2020-02-26,1322.29
2020-02-27,1327.83
2020-02-28,1324.98
2020-03-02,1325.85
2020-03-03,1327.59
2020-03-04,1314.96
2020-03-05,1327.01
2020-03-06,1351.63
2020-03-09,1374.71
2020-03-10,1357.12
2020-03-11,1348.07
2020-03-12,1359.4
2020-03-13,1341.38
2020-03-16,1373.34
2020-03-17,1365.21
2020-03-18,1377.8
2020-03-19,1364.14
2020-03-20,1335.64
2020-03-23,1355.1
2020-03-24,1346.65
2020-03-25,1334.82
2020-03-26,1336.46
2020-03-27,1346.31
2020-03-30,1351.52
2020-03-31,1341.03
2020-04-01,1346.48
2020-04-02,1339.88
2020-04-03,1332.82
2020-04-06,1326.04
2020-04-07,1319.39
2020-04-08,1324.36
2020-04-09,1322.49
2020-04-14,1332.53
2020-04-15,1330.54
2020-04-16,1334.51
2020-04-17,1321.53
2020-04-20,1323.52
2020-04-21,1335.34
2020-04-22,1339.66
2020-04-23,1326.8
2020-04-24,1332.59
2020-04-27,1328.82
2020-04-28,1325.8
2020-04-29,1321.59
2020-04-30,1313.09
2020-05-04,1340.0
2020-05-05,1324.81
2020-05-06,1323.48
2020-05-07,1320.18
2020-05-08,1322.41
2020-05-11,1325.57
2020-05-12,1326.17
2020-05-13,1331.08
2020-05-14,1329.17
2020-05-15,1332.6
2020-05-18,1332.42
2020-05-19,1341.19
2020-05-20,1345.71
