Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,5 jaar of minder (%),6 tot en met 10 jaar (%),Meer dan 10 jaar (%)
 Brugge ,31005,ja,Woonduur gemeente en buurt,Woonduur: adres,2020,0.29,0.14,0.57
 Brugge ,31005,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2014,0.1,0.07,0.82
 Brugge ,31005,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.08,0.81
 Brugge ,31005,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.07,0.81
 Buggenhout ,42004,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.14,0.66
 Buggenhout ,42004,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.26,0.11,0.63
 Buggenhout ,42004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.09,0.79
 Buggenhout ,42004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.07,0.77
 Damme ,31006,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.12,0.64
 Damme ,31006,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.1,0.66
 Damme ,31006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.17,0.08,0.76
 Damme ,31006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.07,0.77
 De Haan ,35029,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.16,0.58
 De Haan ,35029,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.36,0.13,0.52
 De Haan ,35029,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.17,0.12,0.72
 De Haan ,35029,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.23,0.12,0.65
 De Panne ,38008,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.31,0.18,0.51
 De Panne ,38008,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.34,0.19,0.47
 De Panne ,38008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.24,0.14,0.63
 De Panne ,38008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.23,0.14,0.63
 De Pinte ,44012,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.19,0.15,0.66
 De Pinte ,44012,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.22,0.14,0.64
 De Pinte ,44012,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.12,0.75
 De Pinte ,44012,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.09,0.75
 Deerlijk ,34009,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.17,0.13,0.71
 Deerlijk ,34009,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.13,0.64
 Deerlijk ,34009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.11,0.07,0.82
 Deerlijk ,34009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.07,0.77
 Deinze ,44011,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.24,0.16,0.59
 Deinze ,44083,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.15,0.62
 Deinze ,44011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.11,0.75
 Deinze ,44083,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.11,0.76
 Denderleeuw ,41011,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.27,0.15,0.59
 Denderleeuw ,41011,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.17,0.55
 Denderleeuw ,41011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.13,0.74
 Denderleeuw ,41011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.13,0.7
 Dendermonde ,42006,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.28,0.13,0.59
 Dendermonde ,42006,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.27,0.14,0.59
 Dendermonde ,42006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.07,0.78
 Dendermonde ,42006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.09,0.79
 Dentergem ,37002,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.11,0.69
 Dentergem ,37002,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.19,0.12,0.69
 Dentergem ,37002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.05,0.81
 Dentergem ,37002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.08,0.77
 Dessel ,13006,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.19,0.15,0.66
 Dessel ,13006,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.22,0.13,0.66
 Dessel ,13006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.11,0.09,0.8
 Dessel ,13006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.09,0.79
 Destelbergen ,44013,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.14,0.6
 Destelbergen ,44013,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.26,0.12,0.62
 Destelbergen ,44013,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.21,0.1,0.69
 Destelbergen ,44013,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.19,0.1,0.7
 Diepenbeek ,71011,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.17,0.12,0.7
 Diepenbeek ,71011,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.14,0.62
 Diepenbeek ,71011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.1,0.06,0.83
 Diepenbeek ,71011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.1,0.77
 Diest ,24020,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.14,0.61
 Diest ,24020,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.29,0.13,0.58
 Diest ,24020,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.1,0.77
 Diest ,24020,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.18,0.08,0.74
 Diksmuide ,32003,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.13,0.63
 Diksmuide ,32003,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.13,0.64
 Diksmuide ,32003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.08,0.77
