Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een (equivalent) leefloon,Aantal inwoners,Procent
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2004,170,17396,0.00977236
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2005,239,17440,0.0137041
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2006,197,17489,0.0112642
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2007,178,17504,0.0101691
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2008,104,17574,0.00591783
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2009,72,17587,0.00409393
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2010,62,17731,0.0034967
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2011,55,17952,0.00306373
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2012,62,18126,0.0034205
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2013,46,18184,0.0025297
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2014,55,18165,0.0030278
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2015,64,18192,0.00351803
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2016,70,18336,0.00381763
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2017,76,18490,0.00411033
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2018,78,18608,0.00419175
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2019,71,18695,0.00379781
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2020,80,18872,0.00423908
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2021,79,19020,0.00415352
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2022,71,19179,0.00370197
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2003,39,25881,0.0015069
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2004,30,25974,0.001155
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2005,34,25975,0.00130895
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2006,47,25948,0.00181131
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2007,38,26104,0.00145572
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2008,29,26222,0.00110594
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2009,35,26297,0.00133095
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2010,55,26427,0.0020812
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2011,32,26437,0.00121042
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2012,39,26546,0.00146915
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2013,34,26506,0.00128273
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2014,31,26540,0.00116805
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2015,45,26702,0.00168527
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2016,48,26745,0.00179473
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2017,60,26750,0.00224299
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2018,60,26771,0.00224123
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2019,81,26850,0.00301676
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2020,82,26981,0.00303918
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2021,84,27157,0.00309313
Kapellen,11023,Nee,Personen met (equivalent) leefloon,2022,75,27442,0.00273304
Kontich,11024,Nee,Personen met (equivalent) leefloon,2003,131,20139,0.00650479
Kontich,11024,Nee,Personen met (equivalent) leefloon,2004,103,20170,0.00510659
Kontich,11024,Nee,Personen met (equivalent) leefloon,2005,99,20246,0.00488985
Kontich,11024,Nee,Personen met (equivalent) leefloon,2006,92,20239,0.00454568
Kontich,11024,Nee,Personen met (equivalent) leefloon,2007,76,20243,0.00375438
Kontich,11024,Nee,Personen met (equivalent) leefloon,2008,68,20297,0.00335025
Kontich,11024,Nee,Personen met (equivalent) leefloon,2009,58,20335,0.00285223
Kontich,11024,Nee,Personen met (equivalent) leefloon,2010,93,20489,0.00453902
Kontich,11024,Nee,Personen met (equivalent) leefloon,2011,98,20584,0.00476098
Kontich,11024,Nee,Personen met (equivalent) leefloon,2012,86,20739,0.00414678
Kontich,11024,Nee,Personen met (equivalent) leefloon,2013,91,20883,0.00435761
Kontich,11024,Nee,Personen met (equivalent) leefloon,2014,86,20913,0.00411227
Kontich,11024,Nee,Personen met (equivalent) leefloon,2015,102,20886,0.00488365
Kontich,11024,Nee,Personen met (equivalent) leefloon,2016,103,20873,0.0049346
Kontich,11024,Nee,Personen met (equivalent) leefloon,2017,98,20952,0.00467736
Kontich,11024,Nee,Personen met (equivalent) leefloon,2018,105,21074,0.00498244
Kontich,11024,Nee,Personen met (equivalent) leefloon,2019,118,21115,0.00558844
Kontich,11024,Nee,Personen met (equivalent) leefloon,2020,104,21203,0.00490497
Kontich,11024,Nee,Personen met (equivalent) leefloon,2021,104,21260,0.00489182
Kontich,11024,Nee,Personen met (equivalent) leefloon,2022,96,21340,0.00449859
