Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Aantal kinderen van 0 tot en met 17 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 17 jaar (KSZ-cijfers),Procent
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,243,3405,0.0713656
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,267,3439,0.0776388
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,250,3381,0.0739426
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,239,3349,0.0713646
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,234,3360,0.0696429
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,222,3347,0.0663281
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,219,3401,0.0643928
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,197,3458,0.0569693
Schoten,11040,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,406,6580,0.0617021
Schoten,11040,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,456,6437,0.0708405
Schoten,11040,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,481,6427,0.0748405
Schoten,11040,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,473,6411,0.0737794
Schoten,11040,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,498,6337,0.0785861
