Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal personen met een (equivalent) leefloon, met een IGO of GIB, met een IVT en/of met een IT",Aantal inwoners,Procent
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2016,277,18856,0.0146903
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2017,288,18981,0.0151731
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2018,272,18981,0.0143301
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2019,288,19008,0.0151515
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2020,303,19187,0.0157919
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2021,324,19249,0.016832
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2022,343,19366,0.0177115
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2011,225,14756,0.015248
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2012,228,14876,0.0153267
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2013,231,14922,0.0154805
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2014,208,15025,0.0138436
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2015,227,15118,0.0150152
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2016,241,15140,0.0159181
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2017,238,15083,0.0157794
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2018,239,15114,0.0158132
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2019,246,15090,0.0163022
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2020,244,15050,0.0162126
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2021,260,15146,0.0171662
Rumst,11037,Nee,Personen met sociale bijstandsuitkering,2022,261,15254,0.0171103
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2011,138,8080,0.0170792
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2012,121,8088,0.0149604
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2013,132,8201,0.0160956
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2014,142,8183,0.017353
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2015,145,8208,0.0176657
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2016,149,8259,0.0180409
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2017,150,8357,0.017949
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2018,155,8433,0.0183802
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2019,160,8518,0.0187838
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2020,161,8529,0.0188768
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2021,165,8559,0.019278
Schelle,11038,Nee,Personen met sociale bijstandsuitkering,2022,173,8692,0.0199034
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2011,262,19429,0.013485
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2012,264,19472,0.0135579
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2013,267,19308,0.0138285
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2014,263,19400,0.0135567
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2015,257,19375,0.0132645
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2016,247,19434,0.0127097
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2017,255,19516,0.0130662
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2018,260,19585,0.0132755
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2019,269,19652,0.0136882
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2020,282,19873,0.0141901
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2021,301,19925,0.0151066
Schilde,11039,Nee,Personen met sociale bijstandsuitkering,2022,312,20031,0.0155759
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2011,525,33600,0.015625
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2012,534,33766,0.0158147
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2013,563,33776,0.0166686
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2014,598,33871,0.0176552
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2015,625,34016,0.0183737
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2016,651,34063,0.0191116
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2017,697,34273,0.0203367
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2018,676,34462,0.0196158
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2019,681,34517,0.0197294
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2020,693,34316,0.0201947
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2021,678,34291,0.019772
Schoten,11040,Nee,Personen met sociale bijstandsuitkering,2022,714,34157,0.0209035
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2011,252,17961,0.0140304
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2012,268,18028,0.0148658
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2013,249,18140,0.0137266
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2014,258,18304,0.0140953
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2015,274,18407,0.0148856
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2016,271,18515,0.0146368
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2017,277,18498,0.0149746
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2018,287,18529,0.0154892
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2019,314,18710,0.0167825
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2020,342,18789,0.0182021
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2021,349,18680,0.0186831
Stabroek,11044,Nee,Personen met sociale bijstandsuitkering,2022,374,18782,0.0199127
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2011,147,9039,0.0162629
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2012,142,9041,0.0157062
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2013,156,9137,0.0170734
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2014,158,9131,0.0173037
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2015,160,9314,0.0171784
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2016,163,9365,0.0174052
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2017,189,9659,0.0195672
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2018,199,9711,0.0204922
