Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Machelen ,23047,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.66,0.34
 Machelen ,23047,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.64,0.36
 Maldegem ,43010,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.81,0.19
 Maldegem ,43010,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.81,0.19
 Malle ,11057,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 Malle ,11057,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.75,0.25
 Mechelen ,12025,ja,Inwoners die al tien jaar in de gemeente wonen,2014,0.76,0.24
 Mechelen ,12025,ja,Inwoners die al tien jaar in de gemeente wonen,2017,0.69,0.31
 Mechelen ,12025,ja,Inwoners die al tien jaar in de gemeente wonen,2020,0.73,0.27
 Meerhout ,13021,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.81,0.19
 Meerhout ,13021,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Meeuwen-Gruitrode ,72040,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.84,0.16
 Meise ,23050,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.74,0.26
 Meise ,23050,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.72,0.28
 Melle ,44040,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.71,0.29
 Melle ,44040,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.64,0.36
 Menen ,34027,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.84,0.16
 Menen ,34027,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.79,0.21
 Merchtem ,23052,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Merchtem ,23052,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.73,0.27
 Merelbeke ,44043,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Merelbeke ,44043,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.7,0.3
 Merksplas ,13023,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.82,0.18
 Merksplas ,13023,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.86,0.14
 Mesen ,33016,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.62,0.38
 Mesen ,33016,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.62,0.38
 Meulebeke ,37007,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.83,0.17
 Meulebeke ,37007,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.81,0.19
 Middelkerke ,35011,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.63,0.37
 Middelkerke ,35011,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.58,0.42
 Moerbeke ,44045,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Moerbeke ,44045,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Mol ,13025,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Mol ,13025,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.79,0.21
 Moorslede ,36012,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.82,0.18
 Moorslede ,36012,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Mortsel ,11029,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.66,0.34
 Mortsel ,11029,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.64,0.36
 Nazareth ,44048,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.71,0.29
 Nazareth ,44048,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.72,0.28
 Neerpelt ,72025,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.83,0.17
 Nevele ,44049,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.73,0.27
 Niel ,11030,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.66,0.34
 Niel ,11030,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.61,0.39
 Nieuwerkerken ,71045,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Nieuwerkerken ,71045,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Nieuwpoort ,38016,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.64,0.36
 Nieuwpoort ,38016,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.62,0.38
 Nijlen ,12026,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Nijlen ,12026,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Ninove ,41048,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Ninove ,41048,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.75,0.25
 Olen ,13029,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Olen ,13029,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.79,0.21
 Oostende ,35013,ja,Inwoners die al tien jaar in de gemeente wonen,2014,0.8,0.2
 Oostende ,35013,ja,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Oostende ,35013,ja,Inwoners die al tien jaar in de gemeente wonen,2020,0.72,0.28
 Oosterzele ,44052,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Oosterzele ,44052,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.79,0.21
 Oostkamp ,31022,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Oostkamp ,31022,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.74,0.26
 Oostrozebeke ,37010,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.81,0.19
 Oostrozebeke ,37010,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Opglabbeek ,71047,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Opwijk ,23060,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Opwijk ,23060,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Oudenaarde ,45035,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Oudenaarde ,45035,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.73,0.27
 Oudenburg ,35014,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.72,0.28
 Oudenburg ,35014,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.7,0.3
 Oud-Heverlee ,24086,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.71,0.29
 Oud-Heverlee ,24086,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Oudsbergen ,72042,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.81,0.19
 Oud-Turnhout ,13031,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Oud-Turnhout ,13031,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.74,0.26
 Overijse ,23062,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.72,0.28
 Overijse ,23062,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.68,0.32
 Overpelt ,72029,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Peer ,72030,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.83,0.17
 Peer ,72030,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.8,0.2
 Pelt ,72043,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.83,0.17
 Pepingen ,23064,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Pepingen ,23064,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.69,0.31
 Pittem ,37011,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Pittem ,37011,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.79,0.21
 Poperinge ,33021,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.82,0.18
 Poperinge ,33021,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.83,0.17
 Putte ,12029,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
