Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Horebeke ,45062,nee,Tevredenheid over kinderopvang,2020,0.13,0.27,0.6
 Houthalen-Helchteren ,72039,nee,Tevredenheid over kinderopvang,2017,0.11,0.19,0.7
 Houthalen-Helchteren ,72039,nee,Tevredenheid over kinderopvang,2020,0.09,0.28,0.63
 Houthulst ,32006,nee,Tevredenheid over kinderopvang,2017,0.05,0.17,0.78
 Houthulst ,32006,nee,Tevredenheid over kinderopvang,2020,0.1,0.12,0.78
 Hove ,11021,nee,Tevredenheid over kinderopvang,2017,0.07,0.21,0.72
 Hove ,11021,nee,Tevredenheid over kinderopvang,2020,0.04,0.24,0.73
 Huldenberg ,24045,nee,Tevredenheid over kinderopvang,2017,0.13,0.17,0.71
 Huldenberg ,24045,nee,Tevredenheid over kinderopvang,2020,0.17,0.24,0.59
 Hulshout ,13016,nee,Tevredenheid over kinderopvang,2017,0.07,0.24,0.7
 Hulshout ,13016,nee,Tevredenheid over kinderopvang,2020,0.08,0.24,0.68
 Ichtegem ,35006,nee,Tevredenheid over kinderopvang,2017,0.02,0.21,0.76
 Ichtegem ,35006,nee,Tevredenheid over kinderopvang,2020,0.03,0.19,0.78
 Ieper ,33011,nee,Tevredenheid over kinderopvang,2017,0.14,0.21,0.65
 Ieper ,33011,nee,Tevredenheid over kinderopvang,2020,0.08,0.22,0.69
 Ingelmunster ,36007,nee,Tevredenheid over kinderopvang,2017,0.06,0.1,0.84
 Ingelmunster ,36007,nee,Tevredenheid over kinderopvang,2020,0.02,0.15,0.83
 Izegem ,36008,nee,Tevredenheid over kinderopvang,2017,0.04,0.12,0.84
 Izegem ,36008,nee,Tevredenheid over kinderopvang,2020,0.12,0.16,0.71
 Jabbeke ,31012,nee,Tevredenheid over kinderopvang,2017,0.06,0.16,0.78
 Jabbeke ,31012,nee,Tevredenheid over kinderopvang,2020,0.12,0.17,0.71
 Kalmthout ,11022,nee,Tevredenheid over kinderopvang,2017,0.08,0.2,0.72
 Kalmthout ,11022,nee,Tevredenheid over kinderopvang,2020,0.09,0.19,0.72
 Kampenhout ,23038,nee,Tevredenheid over kinderopvang,2017,0.06,0.25,0.69
 Kampenhout ,23038,nee,Tevredenheid over kinderopvang,2020,0.06,0.22,0.72
 Kapellen ,11023,nee,Tevredenheid over kinderopvang,2017,0.03,0.18,0.79
 Kapellen ,11023,nee,Tevredenheid over kinderopvang,2020,0.07,0.14,0.8
 Kapelle-Op-Den-Bos ,23039,nee,Tevredenheid over kinderopvang,2017,0.06,0.14,0.79
 Kapelle-Op-Den-Bos ,23039,nee,Tevredenheid over kinderopvang,2020,0.09,0.26,0.65
 Kaprijke ,43007,nee,Tevredenheid over kinderopvang,2017,0.03,0.19,0.78
 Kaprijke ,43007,nee,Tevredenheid over kinderopvang,2020,0.05,0.17,0.77
 Kasterlee ,13017,nee,Tevredenheid over kinderopvang,2017,0.04,0.1,0.86
